ts,open,high,low,close,volume,oi
2026-07-15 13:42:00+05:30,60.7,61.8,60.4,61.45,114725,7468760
2026-07-15 13:43:00+05:30,61.5,61.75,59.6,60.45,311415,7464145
2026-07-15 13:44:00+05:30,60.35,61.0,60.15,60.85,165230,7491055
2026-07-15 13:45:00+05:30,60.75,61.35,58.75,60.25,251680,7523945
2026-07-15 13:46:00+05:30,60.2,61.15,59.9,60.45,159510,7624435
2026-07-15 13:47:00+05:30,60.45,61.0,59.55,60.5,184080,7624435
2026-07-15 13:48:00+05:30,60.45,62.4,60.35,61.8,205010,7636330
2026-07-15 13:49:00+05:30,61.9,62.9,60.95,61.7,124865,7614100
2026-07-15 13:50:00+05:30,61.75,62.45,60.7,61.0,95225,7644585
2026-07-15 13:51:00+05:30,60.8,61.1,58.85,59.15,170040,7648420
2026-07-15 13:52:00+05:30,59.35,60.0,59.1,59.45,130390,7671625
2026-07-15 13:53:00+05:30,59.4,59.85,58.1,59.05,236535,7677345
2026-07-15 13:54:00+05:30,59.0,60.25,58.8,59.5,109330,7679815
2026-07-15 13:55:00+05:30,59.4,60.1,58.85,59.6,101205,7702240
2026-07-15 13:56:00+05:30,59.7,60.75,59.35,60.55,115310,7684430
2026-07-15 13:57:00+05:30,60.6,61.75,59.55,61.75,187460,7704125
2026-07-15 13:58:00+05:30,61.6,63.25,61.55,62.6,248820,7679620
2026-07-15 13:59:00+05:30,62.6,64.5,62.6,64.3,302445,7631065
2026-07-15 14:00:00+05:30,64.25,64.9,63.65,64.45,231595,7618520
2026-07-15 14:01:00+05:30,64.55,64.7,63.5,63.85,193895,7599475
2026-07-15 14:02:00+05:30,63.85,64.4,63.05,63.6,124995,7573410
2026-07-15 14:03:00+05:30,63.6,63.85,62.7,63.45,172575,7542080
2026-07-15 14:04:00+05:30,63.5,64.3,63.1,63.9,104650,7515365
2026-07-15 14:05:00+05:30,63.9,64.1,62.75,63.35,102180,7520890
2026-07-15 14:06:00+05:30,63.25,63.85,61.6,63.5,163280,7509125
2026-07-15 14:07:00+05:30,63.5,65.3,63.25,64.75,201955,7509580
2026-07-15 14:08:00+05:30,64.75,67.8,64.25,66.65,448175,7493395
2026-07-15 14:09:00+05:30,66.85,67.25,65.15,65.35,246480,7470320
2026-07-15 14:10:00+05:30,65.3,66.05,63.75,64.0,218270,7486115
2026-07-15 14:11:00+05:30,64.15,65.8,64.0,65.35,157560,7498335
2026-07-15 14:12:00+05:30,65.5,65.9,63.4,63.75,183170,7489950
2026-07-15 14:13:00+05:30,63.55,66.25,63.55,65.15,149435,7486895
2026-07-15 14:14:00+05:30,65.35,66.0,64.9,65.8,87100,7486180
2026-07-15 14:15:00+05:30,65.6,67.0,65.4,66.7,211575,7481240
2026-07-15 14:16:00+05:30,66.6,68.0,65.4,65.9,326885,7437950
2026-07-15 14:17:00+05:30,65.95,66.05,63.4,63.55,193180,7443540
2026-07-15 14:18:00+05:30,63.65,64.85,62.2,64.4,222755,7422805
2026-07-15 14:19:00+05:30,64.4,64.9,61.75,63.15,136695,7440030
2026-07-15 14:20:00+05:30,63.2,64.0,62.3,62.5,134160,7454915
2026-07-15 14:21:00+05:30,62.55,63.45,62.2,63.1,116350,7445490
2026-07-15 14:22:00+05:30,63.05,64.3,62.7,63.2,82615,7468825
2026-07-15 14:23:00+05:30,63.2,63.45,62.2,62.25,97695,7484815
2026-07-15 14:24:00+05:30,62.25,62.65,60.8,61.25,154635,7510490
2026-07-15 14:25:00+05:30,61.3,61.55,60.2,60.7,137930,7506395
2026-07-15 14:26:00+05:30,60.75,61.25,60.05,60.25,125060,7487155
2026-07-15 14:27:00+05:30,60.25,62.95,60.25,61.4,106730,7471620
2026-07-15 14:28:00+05:30,61.3,61.75,60.65,61.5,86710,7477015
2026-07-15 14:29:00+05:30,61.3,62.3,60.25,61.5,106860,7469475
2026-07-15 14:30:00+05:30,61.55,62.6,60.5,60.6,124280,7460115
2026-07-15 14:31:00+05:30,60.8,61.25,60.25,60.45,154635,7487090
2026-07-15 14:32:00+05:30,60.4,61.7,60.3,61.4,94510,7508085
2026-07-15 14:33:00+05:30,61.5,62.55,61.2,61.4,133900,7474220
2026-07-15 14:34:00+05:30,61.5,62.65,60.65,60.75,110500,7474220
2026-07-15 14:35:00+05:30,60.75,62.5,60.6,61.7,95030,7473375
2026-07-15 14:36:00+05:30,61.6,63.65,61.35,61.9,221065,7425860
2026-07-15 14:37:00+05:30,61.85,63.95,61.7,62.2,153335,7437105
2026-07-15 14:38:00+05:30,62.25,67.45,62.2,66.0,360945,7413380
2026-07-15 14:39:00+05:30,65.95,69.7,65.95,69.4,642850,7349355
2026-07-15 14:40:00+05:30,69.55,69.55,66.6,68.45,1306630,6668740
2026-07-15 14:41:00+05:30,68.25,68.35,65.8,67.1,541385,6668740
2026-07-15 14:42:00+05:30,67.0,69.2,66.4,67.75,339365,6603805
2026-07-15 14:43:00+05:30,67.7,68.2,66.9,67.55,578240,6567860
2026-07-15 14:44:00+05:30,67.5,70.6,66.85,68.85,548665,6512480
2026-07-15 14:45:00+05:30,68.55,69.75,65.1,66.05,483015,6450665
2026-07-15 14:46:00+05:30,65.9,67.65,65.8,67.0,151775,6450665
2026-07-15 14:47:00+05:30,66.85,66.85,63.3,64.05,289510,6417515
2026-07-15 14:48:00+05:30,63.95,65.15,63.05,64.35,192205,6391580
2026-07-15 14:49:00+05:30,64.3,64.55,62.4,62.75,172380,6388265
2026-07-15 14:50:00+05:30,62.5,64.9,62.0,63.2,187265,6347965
2026-07-15 14:51:00+05:30,63.15,63.35,61.8,62.6,137930,6372145
2026-07-15 14:52:00+05:30,62.6,63.4,61.4,62.2,169975,6375070
2026-07-15 14:53:00+05:30,62.2,62.4,61.5,62.0,90610,6364345
2026-07-15 14:54:00+05:30,62.1,63.3,61.85,63.0,122915,6376955
2026-07-15 14:55:00+05:30,63.05,63.1,61.75,63.0,95940,6381180
2026-07-15 14:56:00+05:30,62.95,63.25,62.0,62.6,77350,6366425
2026-07-15 14:57:00+05:30,62.75,62.75,60.8,61.2,140465,6365905
2026-07-15 14:58:00+05:30,61.25,62.35,60.7,61.75,135720,6364605
2026-07-15 14:59:00+05:30,61.65,61.95,59.65,60.8,259350,6380660
